epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,624,,,,,0.16125760972499847,2.7096896171569824
0,624,,,0.1299019604921341,2.781832218170166,,
1,1249,,,,,0.19066937267780304,2.649463653564453
1,1249,,,0.16726690530776978,2.6036672592163086,,
2,1874,,,,,0.17444218695163727,2.646789312362671
2,1874,,,0.17211884260177612,2.562567949295044,,
3,2499,,,,,0.18255577981472015,2.633319616317749
3,2499,,,0.17802120745182037,2.5379221439361572,,
4,3124,,,,,0.17241379618644714,2.645751476287842
4,3124,,,0.18147258460521698,2.5221784114837646,,
5,3749,,,,,0.16937120258808136,2.627915859222412
5,3749,,,0.18157263100147247,2.512542486190796,,
6,4374,,,,,0.18762677907943726,2.6079883575439453
6,4374,,,0.18382352590560913,2.5026392936706543,,
7,4999,,,,,0.19574037194252014,2.6183719635009766
7,4999,,,0.18602441251277924,2.4909534454345703,,
8,5624,,,,,0.1815415769815445,2.622718095779419
8,5624,,,0.1867246925830841,2.482736110687256,,
9,6249,,,,,0.1916835755109787,2.605421304702759
9,6249,,,0.18802520632743835,2.4783225059509277,,
10,6874,,,,,0.18864096701145172,2.6041533946990967
10,6874,,,0.18967586755752563,2.474625825881958,,
11,7499,,,,,0.18559837341308594,2.606926679611206
11,7499,,,0.18852540850639343,2.465052366256714,,
12,8124,,,,,0.2048681527376175,2.6031789779663086
12,8124,,,0.18987594544887543,2.459825277328491,,
13,8749,,,,,0.20081135630607605,2.60153865814209
13,8749,,,0.1907763034105301,2.459364891052246,,
14,9374,,,,,0.19776876270771027,2.592771530151367
14,9374,,,0.19097639620304108,2.4563286304473877,,
15,9999,,,,,0.19878296554088593,2.600433349609375
15,9999,,,0.1902761161327362,2.450666904449463,,
16,10624,,,,,0.2048681527376175,2.5929458141326904
16,10624,,,0.19202680885791779,2.4453625679016113,,
17,11249,,,,,0.20791074633598328,2.59346079826355
17,11249,,,0.19457782804965973,2.4451851844787598,,
18,11874,,,,,0.20283976197242737,2.597010374069214
18,11874,,,0.19342736899852753,2.4422738552093506,,
19,12499,,,,,0.20791074633598328,2.6000888347625732
19,12499,,,0.19447779655456543,2.438107967376709,,
20,13124,,,,,0.19574037194252014,2.6118273735046387
20,13124,,,0.1941276490688324,2.441885232925415,,
21,13749,,,,,0.20588235557079315,2.597795009613037
21,13749,,,0.19417767226696014,2.437507152557373,,
22,14374,,,,,0.19776876270771027,2.588932514190674
22,14374,,,0.19502800703048706,2.432528495788574,,
23,14999,,,,,0.20385394990444183,2.596550941467285
23,14999,,,0.19677871465682983,2.4316179752349854,,
24,15624,,,,,0.19574037194252014,2.5845746994018555
24,15624,,,0.19722889363765717,2.43269419670105,,
25,16249,,,,,0.2048681527376175,2.587407350540161
25,16249,,,0.19657863676548004,2.426941156387329,,
26,16874,,,,,0.20892494916915894,2.59348464012146
26,16874,,,0.19712884724140167,2.426859140396118,,
27,17499,,,,,0.2018255591392517,2.591947317123413
27,17499,,,0.19822929799556732,2.4245400428771973,,
28,18124,,,,,0.20791074633598328,2.5868804454803467
28,18124,,,0.20033013820648193,2.424806594848633,,
29,18749,,,,,0.20283976197242737,2.5856759548187256
29,18749,,,0.2003801465034485,2.422337770462036,,
30,19374,,,,,0.20588235557079315,2.5815677642822266
30,19374,,,0.1990296095609665,2.4211339950561523,,
31,19999,,,,,0.2018255591392517,2.579543352127075
31,19999,,,0.2010304182767868,2.423485040664673,,
32,20624,,,,,0.20385394990444183,2.5756173133850098
32,20624,,,0.20163065195083618,2.4194045066833496,,
33,21249,,,,,0.2018255591392517,2.580712080001831
33,21249,,,0.20163065195083618,2.4194600582122803,,
34,21874,,,,,0.20283976197242737,2.5837149620056152
34,21874,,,0.2001800686120987,2.4185807704925537,,
35,22499,,,,,0.19878296554088593,2.5844321250915527
35,22499,,,0.20053021609783173,2.416355609893799,,
36,23124,,,,,0.2099391520023346,2.5789847373962402
36,23124,,,0.2022809088230133,2.4173295497894287,,
37,23749,,,,,0.2048681527376175,2.577427625656128
37,23749,,,0.20193077623844147,2.416304111480713,,
38,24374,,,,,0.2018255591392517,2.5772969722747803
38,24374,,,0.20283113420009613,2.4140264987945557,,
39,24999,,,,,0.19878296554088593,2.5777604579925537
39,24999,,,0.20173069834709167,2.415740489959717,,
40,25624,,,,,0.19574037194252014,2.6031432151794434
40,25624,,,0.20663265883922577,2.413093328475952,,
41,26249,,,,,0.2018255591392517,2.5916147232055664
41,26249,,,0.20388154685497284,2.4114201068878174,,
42,26874,,,,,0.21095333993434906,2.5717427730560303
42,26874,,,0.20418167114257812,2.410200834274292,,
43,27499,,,,,0.2048681527376175,2.5629279613494873
43,27499,,,0.20643256604671478,2.4110846519470215,,
44,28124,,,,,0.20588235557079315,2.576932430267334
44,28124,,,0.206232488155365,2.410099983215332,,
45,28749,,,,,0.19878296554088593,2.5884768962860107
45,28749,,,0.20653261244297028,2.4087846279144287,,
46,29374,,,,,0.1967545598745346,2.5828988552093506
