epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,312,,,,,0.5175999999046326,1.377773404121399
0,312,,,0.3483999967575073,1.8127703666687012,,
1,625,,,,,0.5188000202178955,1.3383797407150269
1,625,,,0.5407999753952026,1.3317265510559082,,
2,938,,,,,0.5419999957084656,1.282254695892334
2,938,,,0.545799970626831,1.2988812923431396,,
3,1251,,,,,0.5396000146865845,1.2889422178268433
3,1251,,,0.5501999855041504,1.2632062435150146,,
4,1564,,,,,0.5623999834060669,1.2394109964370728
4,1564,,,0.5593000054359436,1.248182773590088,,
5,1877,,,,,0.5559999942779541,1.2600125074386597
5,1877,,,0.560699999332428,1.2305015325546265,,
6,2190,,,,,0.5633999705314636,1.221343755722046
6,2190,,,0.5630000233650208,1.2256906032562256,,
7,2503,,,,,0.5626000165939331,1.2182828187942505
7,2503,,,0.5680000185966492,1.2220171689987183,,
8,2816,,,,,0.5595999956130981,1.212249994277954
8,2816,,,0.5705999732017517,1.217424988746643,,
9,3129,,,,,0.5630000233650208,1.2088500261306763
9,3129,,,0.5691999793052673,1.2174140214920044,,
10,3442,,,,,0.5616000294685364,1.206375002861023
10,3442,,,0.5745999813079834,1.2123922109603882,,
11,3755,,,,,0.571399986743927,1.1974859237670898
11,3755,,,0.5785999894142151,1.20488440990448,,
12,4068,,,,,0.5666000247001648,1.2048218250274658
12,4068,,,0.58160001039505,1.1990859508514404,,
13,4381,,,,,0.5860000252723694,1.195924997329712
13,4381,,,0.58160001039505,1.1983578205108643,,
14,4694,,,,,0.5795999765396118,1.2069499492645264
14,4694,,,0.5835999846458435,1.1953781843185425,,
15,5007,,,,,0.5776000022888184,1.1924562454223633
15,5007,,,0.5817000269889832,1.1921297311782837,,
16,5320,,,,,0.5758000016212463,1.1952905654907227
16,5320,,,0.5827999711036682,1.1930625438690186,,
17,5633,,,,,0.5741999745368958,1.1951093673706055
17,5633,,,0.5827000141143799,1.1914843320846558,,
18,5946,,,,,0.5870000123977661,1.1973546743392944
18,5946,,,0.5842999815940857,1.1914820671081543,,
19,6259,,,,,0.5821999907493591,1.1917140483856201
19,6259,,,0.5849000215530396,1.1913952827453613,,
20,6572,,,,,0.5845999717712402,1.1841437816619873
20,6572,,,0.5867999792098999,1.1883952617645264,,
21,6885,,,,,0.59579998254776,1.176239013671875
21,6885,,,0.5849000215530396,1.1920515298843384,,
22,7198,,,,,0.6078000068664551,1.166459321975708
22,7198,,,0.5950000286102295,1.1782547235488892,,
23,7511,,,,,0.607200026512146,1.191251516342163
23,7511,,,0.6025999784469604,1.1719906330108643,,
24,7824,,,,,0.6037999987602234,1.1537874937057495
24,7824,,,0.6032999753952026,1.1662906408309937,,
25,8137,,,,,0.6129999756813049,1.1510859727859497
25,8137,,,0.6050999760627747,1.1687359809875488,,
26,8450,,,,,0.6021999716758728,1.1562719345092773
26,8450,,,0.6126000285148621,1.1609843969345093,,
27,8763,,,,,0.6195999979972839,1.148773431777954
27,8763,,,0.6115999817848206,1.157056212425232,,
28,9076,,,,,0.6227999925613403,1.1492531299591064
28,9076,,,0.6144000291824341,1.1540422439575195,,
29,9389,,,,,0.6101999878883362,1.1513437032699585
29,9389,,,0.6133000254631042,1.1569141149520874,,
30,9702,,,,,0.6083999872207642,1.146484375
30,9702,,,0.6133999824523926,1.1566187143325806,,
31,10015,,,,,0.614799976348877,1.1522483825683594
31,10015,,,0.6114000082015991,1.1561475992202759,,
32,10328,,,,,0.6079999804496765,1.1456140279769897
32,10328,,,0.613099992275238,1.152428150177002,,
33,10641,,,,,0.6186000108718872,1.1601030826568604
33,10641,,,0.6154999732971191,1.1524296998977661,,
34,10954,,,,,0.616599977016449,1.1489266157150269
34,10954,,,0.6133000254631042,1.1554656028747559,,
35,11267,,,,,0.6172000169754028,1.160279631614685
35,11267,,,0.6165000200271606,1.1518609523773193,,
36,11580,,,,,0.6132000088691711,1.1511046886444092
36,11580,,,0.6182000041007996,1.1499476432800293,,
37,11893,,,,,0.6151999831199646,1.1475343704223633
37,11893,,,0.6129000186920166,1.1516562700271606,,
38,12206,,,,,0.6078000068664551,1.1452703475952148
38,12206,,,0.6184999942779541,1.1489062309265137,,
39,12519,,,,,0.6176000237464905,1.1626609563827515
39,12519,,,0.6176000237464905,1.1510765552520752,,
40,12832,,,,,0.6194000244140625,1.144068717956543
40,12832,,,0.6158999800682068,1.1501843929290771,,
41,13145,,,,,0.6151999831199646,1.1430375576019287
41,13145,,,0.6172000169754028,1.1487219333648682,,
42,13458,,,,,0.6104000210762024,1.142968773841858
42,13458,,,0.6172000169754028,1.1460249423980713,,
43,13771,,,,,0.6168000102043152,1.1448625326156616
43,13771,,,0.6183000206947327,1.1489968299865723,,
44,14084,,,,,0.6104000210762024,1.1536999940872192
44,14084,,,0.619700014591217,1.1458312273025513,,
45,14397,,,,,0.6209999918937683,1.1390750408172607
45,14397,,,0.6171000003814697,1.149150013923645,,
46,14710,,,,,0.614799976348877,1.140234351158142
46,14710,,,0.6190999746322632,1.147813320159912,,
47,15023,,,,,0.6230000257492065,1.1423734426498413
47,15023,,,0.6208999752998352,1.1445422172546387,,
48,15336,,,,,0.6169999837875366,1.1430578231811523
48,15336,,,0.6133000254631042,1.1499062776565552,,
49,15649,,,,,0.6047999858856201,1.1534781455993652
49,15649,,,0.6157000064849854,1.1478500366210938,,
50,15650,,,,,0.6047999858856201,1.1534781455993652
50,15650,0.6132000088691711,1.1476249694824219,,,,
