epoch,step,test_acc,train_acc,train_loss,val_acc,val_loss
0,312,,,,0.21379999816417694,2.0776171684265137
0,312,,0.1858000010251999,2.2590625286102295,,
1,625,,,,0.26820001006126404,1.9612703323364258
1,625,,0.24240000545978546,2.0241858959198,,
2,938,,,,0.34220001101493835,1.8297499418258667
2,938,,0.2922999858856201,1.9315968751907349,,
3,1251,,,,0.28040000796318054,1.860548496246338
3,1251,,0.3328999876976013,1.8407593965530396,,
4,1564,,,,0.3025999963283539,1.836564064025879
4,1564,,0.31450000405311584,1.8164891004562378,,
5,1877,,,,0.40720000863075256,1.6265718936920166
5,1877,,0.350600004196167,1.7352999448776245,,
6,2190,,,,0.3880000114440918,1.6364375352859497
6,2190,,0.3700999915599823,1.6756280660629272,,
7,2503,,,,0.5055999755859375,1.3689405918121338
7,2503,,0.43700000643730164,1.544643759727478,,
8,2816,,,,0.5776000022888184,1.2350499629974365
8,2816,,0.5443999767303467,1.2940233945846558,,
9,3129,,,,0.6621999740600586,1.0910922288894653
9,3129,,0.6398000121116638,1.1034406423568726,,
10,3442,,,,0.6941999793052673,1.0068374872207642
10,3442,,0.675599992275238,1.0382804870605469,,
11,3755,,,,0.7057999968528748,0.9869531393051147
11,3755,,0.6858000159263611,1.0070468187332153,,
12,4068,,,,0.6818000078201294,1.0148687362670898
12,4068,,0.697700023651123,0.9857437610626221,,
13,4381,,,,0.7006000280380249,0.9884155988693237
13,4381,,0.7024999856948853,0.978571891784668,,
14,4694,,,,0.7134000062942505,0.9871562719345093
14,4694,,0.7111999988555908,0.9590421915054321,,
15,5007,,,,0.7307999730110168,0.9340546727180481
15,5007,,0.7179999947547913,0.9415812492370605,,
16,5320,,,,0.6758000254631042,1.0299296379089355
16,5320,,0.6899999976158142,0.9863484501838684,,
17,5633,,,,0.7095999717712402,0.9761531352996826
17,5633,,0.6919000148773193,0.9845945239067078,,
18,5946,,,,0.722000002861023,0.9372843503952026
18,5946,,0.7063999772071838,0.9631624817848206,,
19,6259,,,,0.7247999906539917,0.9573827981948853
19,6259,,0.7232999801635742,0.9311133027076721,,
20,6572,,,,0.746399998664856,0.8932687640190125
20,6572,,0.7253000140190125,0.9249203205108643,,
21,6885,,,,0.7351999878883362,0.9157421588897705
21,6885,,0.7343999743461609,0.9108015894889832,,
22,7198,,,,0.7445999979972839,0.9047515392303467
22,7198,,0.7379999756813049,0.9137461185455322,,
23,7511,,,,0.7135999798774719,0.9418312311172485
23,7511,,0.7318000197410583,0.9122453331947327,,
24,7824,,,,0.7305999994277954,0.914145290851593
24,7824,,0.7366999983787537,0.9054343700408936,,
25,8137,,,,0.7437999844551086,0.8877562284469604
25,8137,,0.7354000210762024,0.9002843499183655,,
26,8450,,,,0.7067999839782715,0.9675828218460083
26,8450,,0.7401000261306763,0.8950952887535095,,
27,8763,,,,0.7426000237464905,0.8837679624557495
27,8763,,0.7422000169754028,0.8952609300613403,,
28,9076,,,,0.7400000095367432,0.8750625252723694
28,9076,,0.7427999973297119,0.8780015707015991,,
29,9389,,,,0.7394000291824341,0.8980109095573425
29,9389,,0.7418000102043152,0.8849570155143738,,
30,9702,,,,0.7458000183105469,0.9120625257492065
30,9702,,0.7419000267982483,0.8943172097206116,,
31,10015,,,,0.7423999905586243,0.8879093527793884
31,10015,,0.7444000244140625,0.8838124871253967,,
32,10328,,,,0.7522000074386597,0.8626265525817871
32,10328,,0.7513999938964844,0.8740859627723694,,
33,10641,,,,0.756600022315979,0.8617827892303467
33,10641,,0.7473999857902527,0.8649515509605408,,
34,10954,,,,0.7354000210762024,0.8990952968597412
34,10954,,0.7488999962806702,0.8703241944313049,,
35,11267,,,,0.7333999872207642,0.8738155961036682
35,11267,,0.7509999871253967,0.8598390817642212,,
36,11580,,,,0.7360000014305115,0.9132187366485596
36,11580,,0.7067999839782715,0.9364234209060669,,
37,11893,,,,0.729200005531311,0.8871296644210815
37,11893,,0.7299000024795532,0.9033969044685364,,
38,12206,,,,0.7645999789237976,0.8500624895095825
38,12206,,0.7383999824523926,0.8738437294960022,,
39,12519,,,,0.7674000263214111,0.853404700756073
39,12519,,0.7494000196456909,0.8580007553100586,,
40,12832,,,,0.7447999715805054,0.884612500667572
40,12832,,0.7559000253677368,0.8548929691314697,,
41,13145,,,,0.7444000244140625,0.8900703191757202
41,13145,,0.7487000226974487,0.8561750054359436,,
42,13458,,,,0.7608000040054321,0.8607749938964844
42,13458,,0.7573000192642212,0.8484914302825928,,
43,13771,,,,0.7508000135421753,0.8733921647071838
43,13771,,0.7458000183105469,0.8733617067337036,,
44,14084,,,,0.7684000134468079,0.8330062627792358
44,14084,,0.7530999779701233,0.8574953079223633,,
45,14397,,,,0.7621999979019165,0.862989068031311
45,14397,,0.7594000101089478,0.8460820317268372,,
46,14710,,,,0.767799973487854,0.8363062739372253
46,14710,,0.7559999823570251,0.8523273468017578,,
47,15023,,,,0.745199978351593,0.8865531086921692
47,15023,,0.7551000118255615,0.8582422137260437,,
48,15336,,,,0.7630000114440918,0.8300148248672485
48,15336,,0.7556999921798706,0.8528718948364258,,
49,15649,,,,0.7685999870300293,0.8231601715087891
49,15649,,0.7548999786376953,0.8550312519073486,,
50,15962,,,,0.7608000040054321,0.8559984564781189
50,15962,,0.7613999843597412,0.8399445414543152,,
51,16275,,,,0.7623999714851379,0.8462374806404114
51,16275,,0.758899986743927,0.8429140448570251,,
52,16588,,,,0.7634000182151794,0.8352078199386597
52,16588,,0.7572000026702881,0.8439624905586243,,
53,16901,,,,0.760200023651123,0.8408414125442505
53,16901,,0.7613999843597412,0.8455187678337097,,
54,17214,,,,0.7590000033378601,0.8664844036102295
54,17214,,0.7628999948501587,0.8421023488044739,,
55,17527,,,,0.7657999992370605,0.8479312658309937
55,17527,,0.7594000101089478,0.8438000082969666,,
56,17840,,,,0.7667999863624573,0.8379781246185303
56,17840,,0.7638999819755554,0.8368796706199646,,
57,18153,,,,0.7522000074386597,0.8582968711853027
57,18153,,0.7542999982833862,0.8475976586341858,,
58,18466,,,,0.7724000215530396,0.8359015583992004
58,18466,,0.763700008392334,0.8425961136817932,,
59,18779,,,,0.7652000188827515,0.8358195424079895
59,18779,,0.7612000107765198,0.8493289351463318,,
60,19092,,,,0.7613999843597412,0.8471921682357788
60,19092,,0.7626000046730042,0.8437882661819458,,
61,19405,,,,0.7617999911308289,0.8467093706130981
61,19405,,0.760699987411499,0.8415367007255554,,
62,19718,,,,0.7639999985694885,0.846245288848877
62,19718,,0.7639999985694885,0.8355570435523987,,
63,20031,,,,0.753000020980835,0.8814640641212463
63,20031,,0.7580999732017517,0.8481390476226807,,
64,20344,,,,0.7526000142097473,0.8625609278678894
64,20344,,0.754800021648407,0.8523547053337097,,
65,20657,,,,0.7603999972343445,0.8511984348297119
65,20657,,0.7598999738693237,0.8484718799591064,,
66,20970,,,,0.743399977684021,0.8804749846458435
66,20970,,0.7651000022888184,0.8336499929428101,,
67,21283,,,,0.7242000102996826,0.9363625049591064
67,21283,,0.7581999897956848,0.8466734290122986,,
68,21596,,,,0.7671999931335449,0.8139031529426575
68,21596,,0.7599999904632568,0.8433383107185364,,
69,21909,,,,0.7599999904632568,0.8612937331199646
69,21909,,0.7652000188827515,0.8312374949455261,,
70,22222,,,,0.7623999714851379,0.8335734605789185
70,22222,,0.7598999738693237,0.8377327919006348,,
71,22535,,,,0.7555999755859375,0.8713124990463257
71,22535,,0.765500009059906,0.8353796601295471,,
72,22848,,,,0.758400022983551,0.8548703193664551
72,22848,,0.7598000168800354,0.8387452960014343,,
73,23161,,,,0.7595999836921692,0.8512726426124573
73,23161,,0.7628999948501587,0.8384453058242798,,
74,23474,,,,0.770799994468689,0.8256140351295471
74,23474,,0.7541000247001648,0.8480085730552673,,
75,23787,,,,0.7577999830245972,0.8488984107971191
75,23787,,0.7667999863624573,0.8339710831642151,,
76,24100,,,,0.7645999789237976,0.8441304564476013
76,24100,,0.7631999850273132,0.8333125114440918,,
77,24413,,,,0.7580000162124634,0.8389117121696472
77,24413,,0.7700999975204468,0.8303046822547913,,
78,24726,,,,0.7680000066757202,0.8291546702384949
78,24726,,0.760699987411499,0.8380570411682129,,
79,25039,,,,0.7712000012397766,0.8383031487464905
79,25039,,0.7605000138282776,0.839801549911499,,
80,25352,,,,0.7764000296592712,0.8295515775680542
80,25352,,0.7642999887466431,0.8302726745605469,,
81,25665,,,,0.7509999871253967,0.858023464679718
81,25665,,0.7646999955177307,0.8357781171798706,,
82,25978,,,,0.7612000107765198,0.8443406224250793
82,25978,,0.7705000042915344,0.8218062520027161,,
83,26291,,,,0.7527999877929688,0.8598437309265137
83,26291,,0.7612000107765198,0.8267781138420105,,
84,26604,,,,0.7552000284194946,0.8610671758651733
84,26604,,0.760699987411499,0.8384538888931274,,
85,26917,,,,0.7400000095367432,0.878350019454956
85,26917,,0.7670999765396118,0.831753134727478,,
86,27230,,,,0.760200023651123,0.8528640866279602
86,27230,,0.7573999762535095,0.8435812592506409,,
87,27543,,,,0.7653999924659729,0.8494007587432861
87,27543,,0.7674000263214111,0.8337101340293884,,
88,27856,,,,0.7656000256538391,0.8531234264373779
88,27856,,0.7685999870300293,0.826421856880188,,
89,28169,,,,0.7609999775886536,0.8606695532798767
89,28169,,0.7714999914169312,0.8303796648979187,,
90,28482,,,,0.7540000081062317,0.8619140386581421
90,28482,,0.7685999870300293,0.8219070434570312,,
91,28795,,,,0.7699999809265137,0.8250148296356201
91,28795,,0.7628999948501587,0.8325218558311462,,
92,29108,,,,0.7699999809265137,0.840888261795044
92,29108,,0.7695000171661377,0.8229953050613403,,
93,29421,,,,0.7698000073432922,0.8393515348434448
93,29421,,0.7692999839782715,0.8318859338760376,,
94,29734,,,,0.767799973487854,0.8395031094551086
94,29734,,0.7703999876976013,0.828712522983551,,
95,30047,,,,0.7675999999046326,0.836967945098877
95,30047,,0.7620000243186951,0.8336593508720398,,
96,30360,,,,0.7617999911308289,0.8458531498908997
96,30360,,0.7689999938011169,0.8265406489372253,,
97,30673,,,,0.7620000243186951,0.8476250171661377
97,30673,,0.771399974822998,0.8265109658241272,,
98,30986,,,,0.7648000121116638,0.8597750067710876
98,30986,,0.7660999894142151,0.8284671902656555,,
99,31299,,,,0.7559999823570251,0.8511499762535095
99,31299,,0.7760000228881836,0.8201125264167786,,
100,31300,,,,0.7559999823570251,0.8511499762535095
100,31300,0.7544000148773193,,,,
