epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,470,,,,,0.7767767906188965,0.546998143196106
0,470,,,0.7331209182739258,0.5780231952667236,,
1,941,,,,,0.8038038015365601,0.5297524333000183
1,941,,,0.8039566874504089,0.5386378765106201,,
2,1412,,,,,0.8388388156890869,0.5201568603515625
2,1412,,,0.8259974718093872,0.5260799527168274,,
3,1883,,,,,0.8508508801460266,0.5141938924789429
3,1883,,,0.8466441035270691,0.5187458395957947,,
4,2354,,,,,0.857857882976532,0.5107064843177795
4,2354,,,0.8579300045967102,0.5139524936676025,,
5,2825,,,,,0.8668668866157532,0.506362795829773
5,2825,,,0.8622452616691589,0.5098487734794617,,
6,3296,,,,,0.8628628849983215,0.5041983127593994
6,3296,,,0.8677554130554199,0.506301999092102,,
7,3767,,,,,0.868868887424469,0.5016865134239197
7,3767,,,0.8737303614616394,0.5034151077270508,,
8,4238,,,,,0.879879891872406,0.49860212206840515
8,4238,,,0.8800371885299683,0.5007250308990479,,
9,4709,,,,,0.8768768906593323,0.49825558066368103
9,4709,,,0.8849498629570007,0.49776992201805115,,
10,5180,,,,,0.8828828930854797,0.4946763217449188
10,5180,,,0.8865432143211365,0.495567262172699,,
11,5651,,,,,0.8938938975334167,0.49960044026374817
11,5651,,,0.8861448764801025,0.49473801255226135,,
12,6122,,,,,0.8898898959159851,0.48921358585357666
12,6122,,,0.889862596988678,0.49261507391929626,,
13,6593,,,,,0.8818818926811218,0.48618197441101074
13,6593,,,0.8929827809333801,0.4912268817424774,,
14,7064,,,,,0.8918918967247009,0.48886165022850037
14,7064,,,0.895306408405304,0.4889201819896698,,
15,7535,,,,,0.9049049019813538,0.4832674562931061
15,7535,,,0.8931155800819397,0.48766380548477173,,
16,8006,,,,,0.8768768906593323,0.4852621257305145
16,8006,,,0.8974307775497437,0.48616084456443787,,
17,8477,,,,,0.9179179072380066,0.4861631691455841
17,8477,,,0.8963685631752014,0.4852876663208008,,
18,8948,,,,,0.8868868947029114,0.48441335558891296
18,8948,,,0.8987585306167603,0.48383358120918274,,
19,9419,,,,,0.9009009003639221,0.48034974932670593
19,9419,,,0.8969660997390747,0.48185473680496216,,
20,9890,,,,,0.8898898959159851,0.4794858396053314
20,9890,,,0.8958374857902527,0.48104897141456604,,
21,10361,,,,,0.9089089035987854,0.4817121922969818
21,10361,,,0.8983601927757263,0.48010316491127014,,
22,10832,,,,,0.8778778910636902,0.47790050506591797
22,10832,,,0.8995552062988281,0.4788249731063843,,
23,11303,,,,,0.9069069027900696,0.47608473896980286
23,11303,,,0.8986257910728455,0.47859397530555725,,
24,11774,,,,,0.9089089035987854,0.47545763850212097
24,11774,,,0.8978955149650574,0.4771217405796051,,
25,12245,,,,,0.912912905216217,0.4758574366569519
